epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.43424761295318604,0.0003000000142492354,1.4040929079055786,0.8120931386947632,0.3994347155094147
1,0.7891688346862793,0.0003000000142492354,0.33075013756752014,0.8139523863792419,0.5289071798324585
2,0.7842537760734558,0.0003000000142492354,0.3710066080093384,0.8339519500732422,0.22266259789466858
3,0.8057280778884888,0.0003000000142492354,0.3162388801574707,0.8410111665725708,0.25449138879776
4,0.7896804809570312,0.0003000000142492354,0.3075425624847412,0.8837569355964661,0.1944664865732193
5,0.841422975063324,0.0003000000142492354,0.2315790057182312,0.8712151050567627,0.20544053614139557
6,0.8549155592918396,0.0003000000142492354,0.2155211865901947,0.8477650880813599,0.20632775127887726
7,0.8343278765678406,0.0003000000142492354,0.24322888255119324,0.8837597966194153,0.18463855981826782
8,0.8509029150009155,0.0003000000142492354,0.2177577167749405,0.8802013993263245,0.18082864582538605
9,0.8270296454429626,0.0003000000142492354,0.25376442074775696,0.8739662170410156,0.18805402517318726
10,0.848569929599762,0.0003000000142492354,0.22328951954841614,0.8812811374664307,0.17451852560043335
11,0.8551661372184753,0.0003000000142492354,0.21087191998958588,0.8576396107673645,0.19254013895988464
12,0.8596387505531311,0.0003000000142492354,0.2073230892419815,0.8873774409294128,0.17235024273395538
13,0.8700674176216125,0.0003000000142492354,0.19260260462760925,0.8796780109405518,0.17387478053569794
14,0.8744919300079346,0.0003000000142492354,0.18598966300487518,0.8799232840538025,0.17195160686969757
15,0.8738555312156677,0.0003000000142492354,0.18686005473136902,0.8872670531272888,0.17893129587173462
16,0.8772252798080444,0.0003000000142492354,0.18260636925697327,0.8818991780281067,0.17126606404781342
17,0.878017246723175,0.0003000000142492354,0.1821841150522232,0.8921531438827515,0.16661930084228516
18,0.8804425597190857,0.0003000000142492354,0.17919586598873138,0.877010703086853,0.17330606281757355
19,0.8807932138442993,0.0003000000142492354,0.17821265757083893,0.8845788240432739,0.17089587450027466
20,0.8795166611671448,0.0003000000142492354,0.17884953320026398,0.8952008485794067,0.1852017194032669
21,0.8829056024551392,0.0001500000071246177,0.17509311437606812,0.8886743783950806,0.17300960421562195
22,0.8806877136230469,0.0001500000071246177,0.17932327091693878,0.8802217841148376,0.1697414666414261
23,0.8876866698265076,0.0001500000071246177,0.16884998977184296,0.8799731731414795,0.16980263590812683
24,0.8862341642379761,7.500000356230885e-05,0.1688510775566101,0.8884819746017456,0.16557279229164124
25,0.8863186836242676,7.500000356230885e-05,0.1692427396774292,0.8925291299819946,0.16675670444965363
26,0.887488067150116,7.500000356230885e-05,0.1689816415309906,0.8889231085777283,0.1657126098871231
27,0.8886526823043823,7.500000356230885e-05,0.16705872118473053,0.887004017829895,0.1650685966014862
